127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/abc1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod9.JPG HTTP/1.1" 304 -
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod13.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod11.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod12.jpg HTTP/1.1" 304 -
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/bootstrap/css/style.css HTTP/1.1" 200 966
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/abc.jpg HTTP/1.1" 200 32631
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod3.jpg HTTP/1.1" 200 52855
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod4.jpg HTTP/1.1" 200 53505
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod5.jpg HTTP/1.1" 200 111830
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod7.jpg HTTP/1.1" 200 62015
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod8.jpg HTTP/1.1" 200 145386
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod6.jpg HTTP/1.1" 200 171997
127.0.0.1 - - [25/Jun/2018:11:20:45 +0530] "GET /ServletProject1/images/prod2.jpg HTTP/1.1" 200 37423
127.0.0.1 - - [25/Jun/2018:11:20:55 +0530] "GET /ServletProject1/logout HTTP/1.1" 302 -
